indicator_code,disease_name,country_code,spatial_dim_type,year,numeric_value,low,high
TB_e_mort_exc_tbhiv_num,Tuberculosis,PER,COUNTRY,2024,2900.0,2000.0,3900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,USA,COUNTRY,2003,800.0,800.0,810.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GBR,COUNTRY,2002,510.0,500.0,510.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ZAF,COUNTRY,2012,23000.0,22000.0,24000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BRN,COUNTRY,2016,16.0,15.0,17.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TTO,COUNTRY,2021,22.0,21.0,22.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MDV,COUNTRY,2003,7.0,6.0,9.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,IRQ,COUNTRY,2001,1200.0,1100.0,1400.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GNQ,COUNTRY,2014,600.0,250.0,1100.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,AGO,COUNTRY,2022,26000.0,16000.0,38000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NAM,COUNTRY,2016,1700.0,1100.0,2400.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BRA,COUNTRY,2007,5600.0,5400.0,5900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MHL,COUNTRY,2001,45.0,31.0,61.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SAU,COUNTRY,2005,380.0,320.0,450.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UGA,COUNTRY,2000,6400.0,2200.0,13000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PAK,COUNTRY,2008,55000.0,48000.0,63000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARE,COUNTRY,2017,62.0,36.0,96.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ISR,COUNTRY,2023,22.0,21.0,23.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,UGA,COUNTRY,2022,1900.0,290.0,5000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ERI,COUNTRY,2005,3400.0,2300.0,4800.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,AGO,COUNTRY,2009,28000.0,20000.0,37000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,AFG,COUNTRY,2017,13000.0,9500.0,18000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KGZ,COUNTRY,2014,480.0,480.0,490.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ETH,COUNTRY,2009,36000.0,20000.0,56000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NAM,COUNTRY,2007,1200.0,430.0,2200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ALB,COUNTRY,2013,9.0,4.0,14.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,DZA,COUNTRY,2022,3300.0,2200.0,4600.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,VEN,COUNTRY,2006,680.0,680.0,680.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NAM,COUNTRY,2020,1700.0,1000.0,2500.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,HUN,COUNTRY,2001,370.0,370.0,370.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CHN,COUNTRY,2019,31000.0,28000.0,34000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,URY,COUNTRY,2002,59.0,56.0,61.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GTM,COUNTRY,2015,340.0,320.0,360.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JAM,COUNTRY,2007,10.0,9.0,10.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,IRQ,COUNTRY,2014,1000.0,940.0,1100.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARM,COUNTRY,2016,56.0,56.0,57.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SWZ,COUNTRY,2005,880.0,310.0,1700.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LAO,COUNTRY,2009,4600.0,2700.0,6900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PHL,COUNTRY,2023,37000.0,33000.0,42000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,RWA,COUNTRY,2024,350.0,130.0,670.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,IRQ,COUNTRY,2000,1300.0,1100.0,1500.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GLOBAL,GLOBAL,2004,1800000.0,1610000.0,2000000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BOL,COUNTRY,2017,1300.0,920.0,1600.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,HKG,COUNTRY,2004,300.0,290.0,300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MUS,COUNTRY,2016,19.0,18.0,19.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,VUT,COUNTRY,2008,110.0,83.0,140.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PRI,COUNTRY,2016,13.0,13.0,13.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MYS,COUNTRY,2018,1500.0,1100.0,1900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JPN,COUNTRY,2006,4200.0,4100.0,4300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MNE,COUNTRY,2009,1.0,1.0,1.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,STP,COUNTRY,2002,87.0,57.0,120.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MYS,COUNTRY,2015,1700.0,870.0,2800.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ARG,COUNTRY,2019,630.0,610.0,660.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SLV,COUNTRY,2013,72.0,61.0,83.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CHN,COUNTRY,2000,111000.0,85000.0,140000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_LMI,WORLDBANKINCOMEGROUP,2010,994000.0,856000.0,1140000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BWA,COUNTRY,2001,640.0,230.0,1200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MEX,COUNTRY,2020,2200.0,2200.0,2200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CHE,COUNTRY,2010,27.0,27.0,28.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JPN,COUNTRY,2014,3300.0,3200.0,3400.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GHA,COUNTRY,2012,11000.0,4800.0,19000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CIV,COUNTRY,2021,5200.0,3300.0,7600.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MLI,COUNTRY,2002,1800.0,930.0,2900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BFA,COUNTRY,2004,3000.0,1200.0,5500.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BLR,COUNTRY,2018,280.0,260.0,300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ZAF,COUNTRY,2013,21000.0,20000.0,22000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PHL,COUNTRY,2008,31000.0,28000.0,35000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CAF,COUNTRY,2002,4300.0,1500.0,8500.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BDI,COUNTRY,2011,2700.0,1900.0,3800.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NER,COUNTRY,2003,3000.0,1900.0,4400.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,RUS,COUNTRY,2014,16000.0,15000.0,17000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_UMI,WORLDBANKINCOMEGROUP,2011,231000.0,223000.0,239000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_LI,WORLDBANKINCOMEGROUP,2008,219000.0,156000.0,292000.0
