indicator_code,country_code,spatial_dim_type,year,sex_code,cause_code,numeric_value,low,high
SDG_SH_DTH_RNCOM,ARM,COUNTRY,2009,SEX_MLE,GHECAUSES_GHE080,520.5488,432.7663,619.7354
SDG_SH_DTH_RNCOM,STP,COUNTRY,2017,SEX_BTSX,GHECAUSES_GHE080,24.95588,13.58371,41.38485
SDG_SH_DTH_RNCOM,VCT,COUNTRY,2003,SEX_BTSX,GHECAUSES_GHE117,23.14207,16.59385,31.3177
SDG_SH_DTH_RNCOM,HUN,COUNTRY,2012,SEX_BTSX,GHECAUSES_GHE110,62070.55,52694.14,70798.56
SDG_SH_DTH_RNCOM,ALB,COUNTRY,2009,SEX_BTSX,GHECAUSES_GHE110,10129.39,8134.478,12396.02
SDG_SH_DTH_RNCOM,SRB,COUNTRY,2011,SEX_FMLE,GHECAUSES_GHE117,2153.937,1679.138,2861.982
SDG_SH_DTH_RNCOM,SWE,COUNTRY,2013,SEX_MLE,GHECAUSES_GHE061,11883.44,10034.88,14179.45
SDG_SH_DTH_RNCOM,TCD,COUNTRY,2013,SEX_BTSX,GHECAUSES_GHE080,2181.615,1235.292,3586.162
SDG_SH_DTH_RNCOM,ZAF,COUNTRY,2000,SEX_BTSX,GHECAUSES_GHE110,77343.43,65270.15,88904.09
SDG_SH_DTH_RNCOM,TUR,COUNTRY,2013,SEX_BTSX,GHECAUSES_GHE117,25429.52,15160.38,32708.79
SDG_SH_DTH_RNCOM,TZA,COUNTRY,2007,SEX_MLE,GHECAUSES_GHE061,7137.086,4269.673,11425.1
SDG_SH_DTH_RNCOM,BGR,COUNTRY,2012,SEX_BTSX,GHECAUSES_GHE061,18588.48,15108.21,22065.32
SDG_SH_DTH_RNCOM,SYR,COUNTRY,2019,SEX_BTSX,GHECAUSES_GHE117,2805.787,1553.928,4716.765
SDG_SH_DTH_RNCOM,PAN,COUNTRY,2012,SEX_BTSX,GHECAUSES_GHE080,1075.256,819.0297,1343.591
SDG_SH_DTH_RNCOM,WB_HI,WORLDBANKINCOMEGROUP,2015,SEX_MLE,GHECAUSES_GHE080,132073.5,105555.0,162341.8
SDG_SH_DTH_RNCOM,SDN,COUNTRY,2014,SEX_BTSX,GHECAUSES_GHE110,67351.61,40211.05,104915.1
SDG_SH_DTH_RNCOM,AZE,COUNTRY,2011,SEX_BTSX,GHECAUSES_GHE117,1985.906,1176.352,3543.07
SDG_SH_DTH_RNCOM,GNB,COUNTRY,2016,SEX_MLE,GHECAUSES_GHE061,274.3587,151.353,450.7394
SDG_SH_DTH_RNCOM,LCA,COUNTRY,2005,SEX_BTSX,GHECAUSES_GHE080,117.0977,90.45615,147.7897
SDG_SH_DTH_RNCOM,GBR,COUNTRY,2003,SEX_MLE,GHECAUSES_GHE110,111710.6,102629.1,120402.2
SDG_SH_DTH_RNCOM,FJI,COUNTRY,2000,SEX_BTSX,GHECAUSES_GHE110,1922.671,1486.381,2436.023
SDG_SH_DTH_RNCOM,UGA,COUNTRY,2011,SEX_BTSX,GHECAUSES_GHE061,14929.8,9598.419,22142.9
SDG_SH_DTH_RNCOM,MWI,COUNTRY,2003,SEX_FMLE,GHECAUSES_GHE117,972.0469,455.8767,1699.933
SDG_SH_DTH_RNCOM,GLOBAL,GLOBAL,2018,SEX_FMLE,GHECAUSES_GHE117,1791062.0,1174041.0,2542280.0
SDG_SH_DTH_RNCOM,VCT,COUNTRY,2005,SEX_MLE,GHECAUSES_GHE117,16.19827,11.85637,21.71469
SDG_SH_DTH_RNCOM,LBR,COUNTRY,2005,SEX_FMLE,GHECAUSES_GHE110,1673.165,977.6365,2589.649
SDG_SH_DTH_RNCOM,WB_LMI,WORLDBANKINCOMEGROUP,2019,SEX_FMLE,GHECAUSES_GHE080,385202.6,254568.1,549380.3
SDG_SH_DTH_RNCOM,UKR,COUNTRY,2008,SEX_BTSX,GHECAUSES_GHE110,474842.6,429491.0,518349.1
SDG_SH_DTH_RNCOM,AGO,COUNTRY,2016,SEX_BTSX,GHECAUSES_GHE080,4679.593,2820.753,7257.122
SDG_SH_DTH_RNCOM,MKD,COUNTRY,2019,SEX_FMLE,GHECAUSES_GHE110,8066.516,6017.344,10552.48
SDG_SH_DTH_RNCOM,EMR,REGION,2012,SEX_FMLE,GHECAUSES_GHE061,162520.8,105722.1,240133.0
SDG_SH_DTH_RNCOM,CHL,COUNTRY,2008,SEX_MLE,GHECAUSES_GHE080,1574.348,1229.14,1976.738
SDG_SH_DTH_RNCOM,HRV,COUNTRY,2007,SEX_FMLE,GHECAUSES_GHE117,802.5473,595.2682,975.4309
SDG_SH_DTH_RNCOM,NER,COUNTRY,2012,SEX_MLE,GHECAUSES_GHE117,1928.943,932.503,3599.593
SDG_SH_DTH_RNCOM,CAF,COUNTRY,2000,SEX_MLE,GHECAUSES_GHE110,4232.896,2232.264,7146.004
SDG_SH_DTH_RNCOM,POL,COUNTRY,2000,SEX_FMLE,GHECAUSES_GHE117,5651.666,4725.487,7921.127
SDG_SH_DTH_RNCOM,GIN,COUNTRY,2004,SEX_MLE,GHECAUSES_GHE117,987.5823,539.0045,1622.39
SDG_SH_DTH_RNCOM,SSD,COUNTRY,2001,SEX_MLE,GHECAUSES_GHE061,1513.68,777.6703,2669.491
SDG_SH_DTH_RNCOM,LTU,COUNTRY,2007,SEX_BTSX,GHECAUSES_GHE080,306.4539,230.4548,404.0768
SDG_SH_DTH_RNCOM,DEU,COUNTRY,2005,SEX_BTSX,GHECAUSES_GHE080,24304.4,19844.65,28850.83
SDG_SH_DTH_RNCOM,HRV,COUNTRY,2013,SEX_MLE,GHECAUSES_GHE080,554.2617,463.1648,655.1611
SDG_SH_DTH_RNCOM,CYP,COUNTRY,2012,SEX_MLE,GHECAUSES_GHE080,221.0655,170.5073,285.7816
SDG_SH_DTH_RNCOM,SYR,COUNTRY,2001,SEX_BTSX,GHECAUSES_GHE080,1891.439,1293.276,2654.644
SDG_SH_DTH_RNCOM,AMR,REGION,2018,SEX_MLE,GHECAUSES_GHE061,698514.8,581445.9,848967.6
SDG_SH_DTH_RNCOM,GNQ,COUNTRY,2012,SEX_FMLE,GHECAUSES_GHE061,218.4648,98.99886,421.4415
SDG_SH_DTH_RNCOM,MUS,COUNTRY,2009,SEX_BTSX,GHECAUSES_GHE110,3035.599,2530.44,3541.192
SDG_SH_DTH_RNCOM,ECU,COUNTRY,2019,SEX_MLE,GHECAUSES_GHE080,2957.364,1914.86,4336.254
SDG_SH_DTH_RNCOM,LTU,COUNTRY,2013,SEX_FMLE,GHECAUSES_GHE080,173.9733,130.0949,230.6128
SDG_SH_DTH_RNCOM,KEN,COUNTRY,2008,SEX_MLE,GHECAUSES_GHE117,2836.719,1765.296,4366.546
SDG_SH_DTH_RNCOM,BTN,COUNTRY,2003,SEX_BTSX,GHECAUSES_GHE080,96.0307,50.51653,160.9049
SDG_SH_DTH_RNCOM,IRL,COUNTRY,2004,SEX_FMLE,GHECAUSES_GHE061,3550.911,2953.972,4187.051
SDG_SH_DTH_RNCOM,MYS,COUNTRY,2011,SEX_FMLE,GHECAUSES_GHE117,2212.843,1528.059,3449.401
SDG_SH_DTH_RNCOM,PHL,COUNTRY,2008,SEX_BTSX,GHECAUSES_GHE117,31727.38,26696.89,40575.42
SDG_SH_DTH_RNCOM,ETH,COUNTRY,2003,SEX_BTSX,GHECAUSES_GHE110,80417.77,52434.12,121111.4
SDG_SH_DTH_RNCOM,RWA,COUNTRY,2017,SEX_BTSX,GHECAUSES_GHE080,2053.188,1180.344,3308.283
SDG_SH_DTH_RNCOM,NIC,COUNTRY,2019,SEX_BTSX,GHECAUSES_GHE061,4064.612,2726.947,5857.4
SDG_SH_DTH_RNCOM,CAF,COUNTRY,2006,SEX_MLE,GHECAUSES_GHE080,873.2443,513.0487,1385.735
SDG_SH_DTH_RNCOM,VEN,COUNTRY,2019,SEX_MLE,GHECAUSES_GHE080,7224.273,4655.975,10549.75
SDG_SH_DTH_RNCOM,LSO,COUNTRY,2016,SEX_FMLE,GHECAUSES_GHE080,1368.358,763.1654,2173.522
SDG_SH_DTH_RNCOM,UKR,COUNTRY,2017,SEX_BTSX,GHECAUSES_GHE117,9853.686,7505.873,16324.44
SDG_SH_DTH_RNCOM,YEM,COUNTRY,2017,SEX_MLE,GHECAUSES_GHE080,1026.645,543.3171,1783.656
SDG_SH_DTH_RNCOM,BTN,COUNTRY,2008,SEX_FMLE,GHECAUSES_GHE110,367.732,226.2617,556.497
SDG_SH_DTH_RNCOM,PRY,COUNTRY,2015,SEX_MLE,GHECAUSES_GHE110,4361.44,3318.295,5688.409
SDG_SH_DTH_RNCOM,DJI,COUNTRY,2000,SEX_MLE,GHECAUSES_GHE061,95.24847,50.77156,163.2435
SDG_SH_DTH_RNCOM,CZE,COUNTRY,2014,SEX_BTSX,GHECAUSES_GHE110,49448.8,42003.8,55861.02
SDG_SH_DTH_RNCOM,ETH,COUNTRY,2006,SEX_BTSX,GHECAUSES_GHE117,16908.4,9549.829,27470.63
SDG_SH_DTH_RNCOM,BLZ,COUNTRY,2005,SEX_MLE,GHECAUSES_GHE061,64.59036,48.2379,83.83426
