indicator_code,country_code,spatial_dim_type,year,sex_code,numeric_value,low,high
WHOSIS_000001,GRC,COUNTRY,2011,SEX_MLE,77.9644201,77.96109838,78.04748632
WHOSIS_000001,BWA,COUNTRY,2000,SEX_BTSX,47.16383585,45.2842531,49.06463589
WHOSIS_000001,PRI,COUNTRY,2006,SEX_MLE,74.27769742,74.19717575,74.42121955
WHOSIS_000001,VEN,COUNTRY,2006,SEX_BTSX,74.69093059,74.61937587,74.80982157
WHOSIS_000001,CMR,COUNTRY,2002,SEX_MLE,51.7191217,50.83039736,52.67858709
WHOSIS_000001,WB_LMI,WORLDBANKINCOMEGROUP,2016,SEX_MLE,66.91840776,66.30456356,67.61682832
WHOSIS_000001,IRQ,COUNTRY,2005,SEX_MLE,65.07986118,64.20111167,65.96856359
WHOSIS_000001,TZA,COUNTRY,2012,SEX_MLE,61.6877384,60.91551979,62.51974112
WHOSIS_000001,MDV,COUNTRY,2010,SEX_FMLE,76.63298354,76.42050169,76.93871972
WHOSIS_000001,PNG,COUNTRY,2012,SEX_MLE,64.16737727,63.31858656,64.99187721
WHOSIS_000001,AGO,COUNTRY,2005,SEX_FMLE,55.16790921,54.31950661,56.15152203
WHOSIS_000001,IDN,COUNTRY,2004,SEX_FMLE,67.26919104,66.86903133,67.78258845
WHOSIS_000001,GRC,COUNTRY,2013,SEX_MLE,78.52883174,78.52115441,78.61201733
WHOSIS_000001,GAB,COUNTRY,2013,SEX_BTSX,63.25439162,62.44390745,64.1536842
WHOSIS_000001,SEAR,REGION,2005,SEX_FMLE,67.97689254,67.47881993,68.46724357
WHOSIS_000001,CZE,COUNTRY,2019,SEX_MLE,76.30310569,76.26006845,76.40025794
WHOSIS_000001,CHE,COUNTRY,2018,SEX_MLE,81.52853149,81.50913242,81.60344091
WHOSIS_000001,POL,COUNTRY,2021,SEX_FMLE,79.39878959,79.38157561,79.48376787
WHOSIS_000001,SLB,COUNTRY,2018,SEX_FMLE,68.17591111,67.2361266,69.09645803
WHOSIS_000001,ARG,COUNTRY,2003,SEX_BTSX,74.25492535,74.23053932,74.3471494
WHOSIS_000001,ZAF,COUNTRY,2003,SEX_BTSX,52.93394541,52.54237283,53.33238695
WHOSIS_000001,BHS,COUNTRY,2012,SEX_MLE,69.52595492,69.26732094,69.87271398
WHOSIS_000001,GAB,COUNTRY,2001,SEX_MLE,56.25882448,55.59777747,56.98179194
WHOSIS_000001,MRT,COUNTRY,2016,SEX_MLE,69.64545325,68.92816366,70.50505207
WHOSIS_000001,FSM,COUNTRY,2003,SEX_BTSX,64.10175678,63.40111665,64.82364287
WHOSIS_000001,BOL,COUNTRY,2013,SEX_MLE,70.44673368,69.78766835,71.15048639
WHOSIS_000001,PRY,COUNTRY,2003,SEX_BTSX,75.00581985,74.44779472,75.76013471
WHOSIS_000001,GBR,COUNTRY,2011,SEX_BTSX,80.64139781,80.58258282,80.70021281
WHOSIS_000001,ARE,COUNTRY,2017,SEX_BTSX,80.92702059,80.66145996,81.44205169
WHOSIS_000001,JOR,COUNTRY,2005,SEX_BTSX,73.42688191,73.0392258,73.90025418
WHOSIS_000001,CUB,COUNTRY,2014,SEX_BTSX,78.1433227,78.10983489,78.24229283
WHOSIS_000001,TON,COUNTRY,2005,SEX_BTSX,71.97193468,71.48404736,72.43703043
